model_name,tuning_method,subset_strategy,subset_size,target_tokens,random_seed,avg_token_length,total_tokens,evaluation_dataset,accuracy,training_time
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,44,1375,42,15.659090909090908,689,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,44,1375,42,21.818181818181817,960,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,44,2751,42,32.86363636363637,1446,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,89,2751,42,28.752808988764045,2559,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,97,2751,42,28.195876288659793,2735,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,97,2751,42,28.195876288659793,2735,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,44,2751,42,15.659090909090908,689,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,89,2751,42,18.089887640449437,1610,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,133,2751,42,20.270676691729324,2696,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,135,2751,42,20.37037037037037,2750,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,44,2751,42,21.818181818181817,960,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,89,2751,42,22.10112359550562,1967,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,126,2751,42,21.674603174603174,2731,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,126,2751,42,21.674603174603174,2731,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,44,4169,42,32.86363636363637,1446,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,89,4169,42,28.752808988764045,2559,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,133,4169,42,26.022556390977442,3461,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,few_long,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,44,4169,42,15.659090909090908,689,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,89,4169,42,18.089887640449437,1610,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,133,4169,42,20.270676691729324,2696,MMLU:human_aging,0.4,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,many_short,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.4222222222222222,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,44,4169,42,21.818181818181817,960,MMLU:human_aging,0.35555555555555557,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,89,4169,42,22.10112359550562,1967,MMLU:human_aging,0.37777777777777777,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,133,4169,42,21.63157894736842,2877,MMLU:human_aging,0.4222222222222222,0
HuggingFaceTB/SmolLM-360M-Instruct,FMT,balanced,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.4,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,44,1375,42,15.659090909090908,689,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,44,1375,42,21.818181818181817,960,MMLU:human_aging,0.3333333333333333,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,44,2751,42,32.86363636363637,1446,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,89,2751,42,28.752808988764045,2559,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,97,2751,42,28.195876288659793,2735,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,97,2751,42,28.195876288659793,2735,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,44,2751,42,15.659090909090908,689,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,89,2751,42,18.089887640449437,1610,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,133,2751,42,20.270676691729324,2696,MMLU:human_aging,0.26666666666666666,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,135,2751,42,20.37037037037037,2750,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,44,2751,42,21.818181818181817,960,MMLU:human_aging,0.3333333333333333,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,89,2751,42,22.10112359550562,1967,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,126,2751,42,21.674603174603174,2731,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,126,2751,42,21.674603174603174,2731,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,44,4169,42,32.86363636363637,1446,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,89,4169,42,28.752808988764045,2559,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,133,4169,42,26.022556390977442,3461,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,few_long,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.26666666666666666,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,44,4169,42,15.659090909090908,689,MMLU:human_aging,0.28888888888888886,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,89,4169,42,18.089887640449437,1610,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,133,4169,42,20.270676691729324,2696,MMLU:human_aging,0.26666666666666666,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,many_short,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.26666666666666666,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,44,4169,42,21.818181818181817,960,MMLU:human_aging,0.3333333333333333,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,89,4169,42,22.10112359550562,1967,MMLU:human_aging,0.3111111111111111,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,133,4169,42,21.63157894736842,2877,MMLU:human_aging,0.24444444444444444,0
Qwen/Qwen2.5-0.5B-Instruct,FMT,balanced,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.28888888888888886,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,41,1375,42,33.26829268292683,1364,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,44,1375,42,15.659090909090908,689,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.37777777777777777,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.37777777777777777,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,78,1375,42,17.53846153846154,1368,MMLU:human_aging,0.37777777777777777,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,44,1375,42,21.818181818181817,960,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,63,1375,42,21.746031746031747,1370,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,44,2751,42,32.86363636363637,1446,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,89,2751,42,28.752808988764045,2559,MMLU:human_aging,0.37777777777777777,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,97,2751,42,28.195876288659793,2735,MMLU:human_aging,0.35555555555555557,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,97,2751,42,28.195876288659793,2735,MMLU:human_aging,0.35555555555555557,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,44,2751,42,15.659090909090908,689,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,89,2751,42,18.089887640449437,1610,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,133,2751,42,20.270676691729324,2696,MMLU:human_aging,0.35555555555555557,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,135,2751,42,20.37037037037037,2750,MMLU:human_aging,0.35555555555555557,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,44,2751,42,21.818181818181817,960,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,89,2751,42,22.10112359550562,1967,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,126,2751,42,21.674603174603174,2731,MMLU:human_aging,0.37777777777777777,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,126,2751,42,21.674603174603174,2731,MMLU:human_aging,0.37777777777777777,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,44,4169,42,32.86363636363637,1446,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,89,4169,42,28.752808988764045,2559,MMLU:human_aging,0.37777777777777777,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,133,4169,42,26.022556390977442,3461,MMLU:human_aging,0.37777777777777777,0
tiiuae/Falcon3-1B-Instruct,FMT,few_long,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.35555555555555557,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,44,4169,42,15.659090909090908,689,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,89,4169,42,18.089887640449437,1610,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,133,4169,42,20.270676691729324,2696,MMLU:human_aging,0.35555555555555557,0
tiiuae/Falcon3-1B-Instruct,FMT,many_short,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.35555555555555557,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,44,4169,42,21.818181818181817,960,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,89,4169,42,22.10112359550562,1967,MMLU:human_aging,0.4,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,133,4169,42,21.63157894736842,2877,MMLU:human_aging,0.35555555555555557,0
tiiuae/Falcon3-1B-Instruct,FMT,balanced,178,4169,42,23.421348314606742,4169,MMLU:human_aging,0.35555555555555557,0
